Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTestSuite,Chrome 138.0.7204.169,,,30-07-2025 15:52:46,30-07-2025 15:53:21,35.330s,PASSED
,,,,,,,
Test Cases/TestCases/Test01InvalidLogin,Chrome 138.0.7204.169,,,30-07-2025 15:52:47,30-07-2025 15:52:57,10.772s,PASSED
"DATA BINDING - {""Username"":""John Doe"",""Password"":""RyzK/uu8Q18DVx3DwtARbQ\u003d\u003d""}",,,,,,,
"callTestCase(findTestCase(""DemoHealthCare/LoginCura""), [""Username"":Username, ""Password"":Password], STOP_ON_FAILURE)",Chrome 138.0.7204.169,,,30-07-2025 15:52:47,30-07-2025 15:52:57,10.408s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username and password are valid""), 10)",Chrome 138.0.7204.169,,,30-07-2025 15:52:57,30-07-2025 15:52:57,0.038s,PASSED
if (true),Chrome 138.0.7204.169,,,30-07-2025 15:52:57,30-07-2025 15:52:57,0.008s,PASSED
,,,,,,,
Test Cases/TestCases/Test02ValidLogin,Chrome 138.0.7204.169,,,30-07-2025 15:52:57,30-07-2025 15:53:05,7.462s,PASSED
"DATA BINDING - {""Username"":""John Doe"",""Password"":""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM""}",,,,,,,
"callTestCase(findTestCase(""DemoHealthCare/LoginCura""), [""Username"":Username, ""Password"":Password], STOP_ON_FAILURE)",Chrome 138.0.7204.169,,,30-07-2025 15:52:57,30-07-2025 15:53:05,7.333s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), 10)",Chrome 138.0.7204.169,,,30-07-2025 15:53:05,30-07-2025 15:53:05,0.047s,PASSED
if (true),Chrome 138.0.7204.169,,,30-07-2025 15:53:05,30-07-2025 15:53:05,0.004s,PASSED
,,,,,,,
Test Cases/TestCases/TestCase03MakeAppt,Chrome 138.0.7204.169,,,30-07-2025 15:53:05,30-07-2025 15:53:21,16.468s,PASSED
"callTestCase(findTestCase(""DemoHealthCare/LoginCura""), [""Username"":""John Doe"", ""Password"":""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM""], STOP_ON_FAILURE)",Chrome 138.0.7204.169,,,30-07-2025 15:53:05,30-07-2025 15:53:18,13.100s,PASSED
"callTestCase(findTestCase(""DemoHealthCare/MakeAppointment""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.169,,,30-07-2025 15:53:18,30-07-2025 15:53:20,1.838s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""), 20, STOP_ON_FAILURE)",Chrome 138.0.7204.169,,,30-07-2025 15:53:20,30-07-2025 15:53:20,0.081s,PASSED
if (true),Chrome 138.0.7204.169,,,30-07-2025 15:53:20,30-07-2025 15:53:20,0.400s,PASSED
"callTestCase(findTestCase(""DemoHealthCare/LogOutCura""), [:], STOP_ON_FAILURE)",Chrome 138.0.7204.169,,,30-07-2025 15:53:20,30-07-2025 15:53:21,0.976s,PASSED
